INDICE DE CALIDAD DEL AIRE
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.df.gob.mx
timeStamp:	2000/01/01 al 2000/12/31
average_interval: 001h
FECHA,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10
01/01/2000,1,7,24,21,24,41,7,60,29,45,65,4,22,17,31,67,24,24,14,17,44,8,25,27,32,60
01/01/2000,2,7,23,19,25,44,10,62,30,48,66,5,22,16,33,69,25,24,12,18,48,12,25,24,36,61
01/01/2000,3,10,24,20,26,47,13,62,32,51,68,5,23,16,34,72,24,24,13,20,50,10,26,24,40,61
01/01/2000,4,11,24,22,28,49,12,63,31,53,70,6,23,13,37,73,20,24,15,22,52,12,26,23,44,61
01/01/2000,5,6,24,23,31,51,13,64,30,58,73,6,23,14,39,75,20,24,14,23,53,8,26,20,45,63
01/01/2000,6,5,24,17,34,51,15,64,32,62,78,6,23,14,41,78,23,24,14,25,54,7,26,20,48,65
01/01/2000,7,5,24,13,37,52,13,65,29,64,81,6,23,15,44,82,22,24,11,27,54,10,26,20,48,69
01/01/2000,8,5,24,19,39,52,15,65,26,69,85,7,23,16,47,86,22,23,11,27,54,11,26,19,49,75
01/01/2000,9,5,23,28,41,51,15,67,29,71,87,8,23,20,50,90,28,23,11,27,54,7,26,23,48,77
01/01/2000,10,13,23,45,40,51,15,67,31,69,87,17,23,30,52,95,31,23,27,28,55,21,25,26,42,79
01/01/2000,11,38,23,40,36,51,39,67,51,67,89,53,23,28,52,97,56,22,23,26,56,48,25,22,36,80
01/01/2000,12,74,23,31,32,51,87,67,49,65,91,76,23,30,50,99,77,22,17,25,57,75,25,25,32,81
01/01/2000,13,102,23,23,30,51,111,67,40,59,93,102,23,23,47,101,100,23,13,23,58,98,25,23,30,83
01/01/2000,14,100,23,20,27,51,134,67,28,54,94,111,23,23,43,101,85,24,8,20,57,104,25,19,27,84
01/01/2000,15,120,23,15,27,52,133,67,26,48,94,121,23,16,40,101,92,25,8,18,57,123,25,23,21,85
01/01/2000,16,127,23,19,26,53,121,67,28,40,95,122,24,13,36,102,111,25,9,17,56,138,25,26,17,86
01/01/2000,17,129,23,17,26,54,124,67,32,34,94,124,24,11,32,103,121,26,11,16,57,133,25,29,14,87
01/01/2000,18,94,24,27,24,54,111,67,48,32,95,96,24,24,29,102,125,28,15,14,57,108,25,46,13,87
01/01/2000,19,82,24,66,23,54,46,67,65,32,96,44,24,33,31,103,75,28,20,14,58,40,25,39,14,88
01/01/2000,20,21,24,45,25,55,25,68,45,31,98,12,24,29,32,104,75,29,33,16,58,42,25,33,14,88
01/01/2000,21,15,24,43,26,56,22,68,66,32,99,14,23,29,36,105,68,29,35,18,59,20,25,34,15,89
01/01/2000,22,7,25,45,29,57,17,69,67,35,100,9,23,30,41,106,62,30,33,21,61,27,25,40,17,89
01/01/2000,23,7,26,47,34,57,7,70,60,41,100,5,24,34,45,107,61,30,26,23,62,23,25,34,18,89
01/01/2000,24,9,27,44,38,57,11,70,58,45,99,12,24,31,51,108,52,30,21,25,63,22,25,36,20,89
02/01/2000,1,15,27,36,41,56,7,72,56,56,100,8,23,29,56,107,45,30,20,27,63,29,25,31,21,89
02/01/2000,2,15,27,29,45,55,8,72,55,66,100,5,22,29,62,105,50,30,18,28,62,23,25,30,21,88
02/01/2000,3,22,28,30,46,53,8,73,45,70,99,5,22,30,64,104,50,30,24,27,62,25,25,28,20,86
02/01/2000,4,19,28,29,47,52,9,74,37,73,96,8,22,20,66,103,46,30,16,24,61,28,25,24,19,84
02/01/2000,5,15,28,29,44,52,21,75,32,73,93,11,22,19,64,101,36,30,10,22,61,29,26,24,17,82
02/01/2000,6,17,28,24,38,51,16,75,35,71,89,8,22,18,60,98,42,30,12,19,60,22,27,24,15,78
02/01/2000,7,12,28,27,34,51,13,75,28,66,85,9,22,17,58,95,38,30,13,17,60,26,27,22,15,73
02/01/2000,8,7,29,30,32,51,14,76,26,61,84,8,22,19,53,91,29,30,14,15,61,24,27,21,16,67
02/01/2000,9,9,29,31,30,51,10,76,33,61,79,7,22,24,50,86,31,29,20,15,61,16,26,28,20,63
