Fecha,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10
01/01/2003,1,14,8,22,51,51,7,9,24,45,91,5,15,33,49,58,41,5,33,43,55,6,12,29,26,66
01/01/2003,2,14,8,22,56,53,5,10,23,49,101,4,14,28,53,60,43,5,31,49,59,19,12,29,28,70
01/01/2003,3,7,10,21,61,56,6,11,23,50,107,5,14,27,53,62,32,5,31,53,64,7,12,29,29,76
01/01/2003,4,7,11,21,64,60,5,11,22,54,111,6,14,27,50,66,28,6,30,53,67,7,12,28,32,82
01/01/2003,5,7,12,21,67,63,8,12,20,56,117,7,14,24,55,72,27,6,28,56,72,7,13,26,34,89
01/01/2003,6,8,12,20,67,65,7,12,22,55,125,6,14,23,57,76,30,6,21,57,77,10,13,25,34,96
01/01/2003,7,9,13,20,62,66,7,13,23,54,135,6,14,21,56,81,28,7,18,53,81,6,14,24,36,101
01/01/2003,8,9,13,18,60,68,6,14,20,50,142,7,14,22,55,85,22,7,17,50,85,13,14,24,37,106
01/01/2003,9,14,14,20,59,68,6,14,29,48,150,9,14,27,55,90,25,7,20,46,90,8,15,28,37,111
01/01/2003,10,33,15,28,59,69,22,15,38,47,157,29,14,42,52,95,35,7,51,43,93,19,15,37,36,114
01/01/2003,11,62,15,27,56,70,62,15,26,45,161,67,14,37,49,99,73,7,37,41,96,66,15,40,35,118
01/01/2003,12,89,15,24,51,72,90,15,15,44,158,100,14,20,43,101,110,8,28,40,99,103,15,20,32,118
01/01/2003,13,116,15,25,46,73,97,15,10,38,154,126,14,20,37,99,124,8,24,35,99,102,16,16,28,119
01/01/2003,14,131,15,22,39,73,89,15,9,33,153,122,14,17,32,100,139,8,17,29,100,117,16,17,25,119
01/01/2003,15,133,15,22,34,74,98,16,7,27,152,121,13,16,28,100,140,8,15,25,100,116,16,15,21,120
01/01/2003,16,126,15,17,29,75,90,16,7,23,152,116,13,17,24,101,141,8,14,21,100,107,17,20,18,121
01/01/2003,17,120,15,19,24,76,100,16,9,19,152,118,13,26,21,102,125,8,13,17,101,94,17,11,15,122
01/01/2003,18,105,15,20,19,77,63,16,15,17,153,71,13,26,20,104,107,8,20,15,102,55,17,13,15,124
01/01/2003,19,29,15,26,16,78,35,16,14,16,152,21,13,21,19,100,48,8,17,14,100,53,17,14,14,122
01/01/2003,20,19,15,24,17,78,34,16,14,16,151,21,13,23,21,99,51,8,13,14,99,44,17,19,13,121
01/01/2003,21,19,15,25,19,75,35,16,15,16,150,14,13,26,25,96,41,8,19,15,98,20,17,23,13,120
01/01/2003,22,15,15,23,19,75,36,16,17,17,147,5,13,28,27,95,33,8,18,15,98,19,17,22,14,117
01/01/2003,23,11,15,22,19,75,29,16,19,18,143,3,13,25,29,94,27,8,23,15,96,16,17,21,14,116
01/01/2003,24,14,15,22,20,74,12,15,18,20,138,3,13,23,31,93,32,7,17,15,93,13,17,21,15,114
02/01/2003,1,17,14,20,20,73,11,15,19,21,130,4,13,22,31,90,32,7,15,14,90,7,17,20,15,111
02/01/2003,2,18,13,17,20,71,12,14,16,21,121,3,13,20,30,89,30,6,14,14,86,15,16,21,15,107
02/01/2003,3,24,12,13,19,68,15,12,16,22,115,4,12,20,29,87,35,5,14,15,82,11,16,17,15,102
02/01/2003,4,25,12,13,19,66,5,12,16,23,111,12,12,18,27,83,37,5,13,15,78,11,15,19,15,95
02/01/2003,5,25,12,10,18,65,6,10,14,23,106,13,12,14,23,78,35,5,10,13,74,12,15,14,15,89
02/01/2003,6,17,12,11,18,64,4,9,15,23,98,9,11,14,20,75,28,5,10,12,70,15,15,14,14,82
02/01/2003,7,12,11,17,18,63,5,8,15,22,89,4,11,17,18,72,24,5,16,12,66,5,14,17,14,77
02/01/2003,8,6,11,18,20,63,5,8,16,24,82,4,10,19,19,70,20,5,17,13,61,9,14,18,17,73
02/01/2003,9,9,11,17,22,63,8,8,23,26,76,5,9,19,22,65,19,5,19,17,58,8,13,20,20,69
02/01/2003,10,19,12,17,22,61,26,8,14,25,70,14,9,22,23,60,20,5,18,18,54,19,13,30,21,66
02/01/2003,11,33,12,9,24,60,44,7,13,25,69,39,9,18,22,58,28,5,17,18,51,29,12,26,21,63
02/01/2003,12,46,12,9,23,59,49,7,11,25,71,50,8,19,22,58,41,5,13,18,49,48,12,26,20,62
02/01/2003,13,55,12,8,23,58,51,6,10,25,72,57,8,15,23,57,61,5,12,18,50,64,12,22,21,61
02/01/2003,14,61,12,10,23,57,54,6,10,24,73,64,8,14,23,58,75,5,13,19,51,75,11,21,21,61
02/01/2003,15,60,12,12,21,58,57,6,12,22,75,65,8,22,23,58,78,5,15,18,52,84,11,33,21,61
02/01/2003,16,55,12,14,16,59,59,6,12,19,77,68,8,21,21,59,84,5,15,17,53,86,11,28,18,62
02/01/2003,17,59,12,14,13,59,55,6,15,14,77,72,8,24,19,60,87,5,19,12,53,88,10,31,15,62
02/01/2003,18,51,12,18,13,59,48,5,17,15,76,57,8,20,20,59,83,5,24,11,53,86,10,22,14,61
02/01/2003,19,33,14,21,14,59,34,5,17,15,76,22,8,25,21,59,62,5,27,11,55,83,10,29,14,62
02/01/2003,20,37,14,16,15,58,25,5,13,15,75,11,8,26,22,59,38,6,17,11,55,31,10,30,15,62
02/01/2003,21,16,16,20,16,59,22,5,14,15,76,14,8,21,23,59,36,6,17,12,55,7,11,24,15,63
02/01/2003,22,6,18,17,17,58,23,6,17,16,77,13,8,19,23,59,34,6,24,12,56,14,11,22,16,63
02/01/2003,23,10,21,18,16,58,14,8,14,16,77,6,10,19,23,59,10,7,23,12,56,14,12,21,16,64
02/01/2003,24,17,23,17,16,57,20,10,17,16,76,5,12,19,23,59,7,9,17,12,57,8,14,22,16,64
03/01/2003,1,17,28,16,15,58,21,12,17,16,76,4,14,16,21,59,15,12,13,11,57,10,16,21,15,64
03/01/2003,2,20,28,11,14,57,20,14,15,15,76,5,16,17,19,60,9,16,14,11,57,10,18,20,15,64
03/01/2003,3,18,29,11,12,57,11,15,15,13,75,8,18,16,17,60,7,18,17,10,57,15,18,16,13,64
03/01/2003,4,13,30,11,12,57,4,18,15,13,76,6,18,14,15,62,12,20,14,9,56,14,21,12,12,64
03/01/2003,5,11,32,11,11,58,6,22,15,12,76,4,20,13,13,63,10,22,15,8,56,12,22,14,10,64
03/01/2003,6,8,33,12,11,58,4,24,14,11,76,5,22,13,12,62,9,23,15,7,56,8,24,16,9,64
03/01/2003,7,5,35,14,12,59,4,27,14,11,75,5,25,13,12,61,5,25,15,7,56,8,28,20,9,64
03/01/2003,8,5,37,15,14,59,4,29,15,11,75,4,28,16,14,58,5,28,16,6,56,6,31,20,9,63
03/01/2003,9,6,38,18,18,59,5,32,17,13,73,7,31,20,18,58,7,32,18,7,56,8,31,23,12,63
03/01/2003,10,12,39,21,21,58,10,34,22,16,73,14,33,22,20,54,15,35,22,7,56,10,32,22,13,63
03/01/2003,11,18,40,30,24,59,23,35,30,18,71,22,35,33,24,55,22,37,31,9,56,24,33,27,15,64
03/01/2003,12,37,41,40,28,59,38,37,37,21,71,35,35,42,27,55,35,38,40,10,56,39,34,33,17,64
03/01/2003,13,69,42,41,31,60,70,38,41,24,72,66,35,45,31,55,56,40,46,12,56,67,35,40,20,65
03/01/2003,14,81,42,34,33,61,103,40,38,27,76,85,35,40,34,57,74,41,30,14,56,80,35,35,21,65
03/01/2003,15,60,42,24,33,60,81,40,20,27,76,99,35,40,35,57,81,41,21,15,56,81,36,40,21,65
03/01/2003,16,74,42,25,31,59,85,40,16,27,76,110,36,40,35,58,102,41,22,16,56,97,36,44,21,65
03/01/2003,17,72,42,16,28,59,78,40,17,26,76,102,36,32,32,57,106,42,24,16,56,85,36,62,21,65
03/01/2003,18,57,42,20,25,58,74,40,20,24,76,82,37,32,32,57,87,42,28,17,55,81,36,54,22,64
03/01/2003,19,34,41,27,22,57,52,41,20,24,75,34,37,33,30,56,65,42,32,17,55,63,35,50,25,64
03/01/2003,20,38,41,27,20,58,26,41,18,23,75,22,37,26,28,57,48,42,30,17,55,43,35,35,26,64
03/01/2003,21,26,40,22,19,58,22,40,19,22,75,13,38,24,26,57,29,42,27,17,56,23,35,33,27,63
03/01/2003,22,25,44,23,19,58,17,38,20,21,75,5,39,26,25,57,22,45,26,17,57,5,34,32,27,63
03/01/2003,23,16,48,23,19,58,16,37,20,22,75,5,42,23,24,57,23,47,26,17,56,4,35,32,28,63
03/01/2003,24,6,50,22,19,59,19,35,20,24,76,7,42,22,23,57,22,48,24,17,57,4,37,30,27,64
04/01/2003,1,5,52,22,19,60,10,40,20,25,77,4,42,22,23,58,23,47,23,17,57,4,36,28,26,64
04/01/2003,2,6,56,23,19,62,4,47,18,24,77,5,41,20,22,58,22,45,21,17,57,5,39,24,25,64
04/01/2003,3,6,58,21,18,63,4,52,18,23,79,5,45,19,21,59,18,48,20,16,58,9,44,24,21,65
04/01/2003,4,5,59,17,17,64,4,53,17,21,79,5,50,19,20,59,13,55,21,14,58,5,44,21,19,66
04/01/2003,5,5,60,18,17,64,5,53,17,20,81,10,53,18,19,60,11,58,20,13,59,5,45,20,17,66
04/01/2003,6,6,60,16,18,65,4,53,16,19,81,6,55,17,18,60,9,61,20,13,60,5,45,21,15,67
04/01/2003,7,5,58,15,19,65,4,53,16,18,82,5,56,17,18,60,10,62,19,14,60,5,45,22,15,67
04/01/2003,8,5,58,16,22,65,4,53,16,17,81,5,55,19,19,60,5,61,19,15,60,5,43,25,17,67
04/01/2003,9,6,56,22,26,65,5,52,20,19,83,7,55,25,21,61,16,58,22,16,61,5,41,23,18,67
