INDICE DE CALIDAD DEL AIRE
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.df.gob.mx
timeStamp:	2005/01/01 al 2005/12/31
average_interval: 001h
Fecha,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10
01/01/2005,1,19,19,43,42,80,10,22,34,40,116,4,21,45,52,85,26,12,39,27,80,13,15,33,29,87
01/01/2005,2,19,19,42,45,84,7,22,35,48,128,4,22,40,55,86,19,12,34,28,81,9,15,31,29,89
01/01/2005,3,17,19,42,48,88,5,22,34,59,139,4,22,37,57,87,23,12,33,29,84,9,15,30,31,90
01/01/2005,4,16,19,42,52,91,6,22,33,70,149,4,23,33,58,90,21,12,32,29,88,12,15,31,33,94
01/01/2005,5,16,19,39,53,94,8,23,34,70,158,5,24,33,54,93,23,12,31,29,92,19,15,29,35,98
01/01/2005,6,16,20,39,53,97,13,23,30,69,167,5,25,34,49,97,25,12,30,29,96,9,15,29,37,101
01/01/2005,7,16,21,37,50,99,11,24,26,66,174,5,25,32,48,100,35,12,26,29,100,9,15,28,37,105
01/01/2005,8,14,22,38,48,100,19,24,23,62,181,6,26,33,46,103,31,12,24,28,104,14,15,26,38,109
01/01/2005,9,19,22,44,46,100,10,24,28,59,187,14,27,40,43,104,22,12,31,28,108,19,15,33,41,113
01/01/2005,10,46,22,56,47,100,20,24,40,53,191,31,27,50,42,107,41,12,38,29,110,37,15,49,43,115
01/01/2005,11,74,23,44,45,101,73,24,39,43,193,75,27,50,41,110,80,12,38,30,111,66,15,50,43,118
01/01/2005,12,103,23,26,41,100,94,23,18,35,195,95,26,33,39,110,98,12,27,29,112,106,15,40,41,121
01/01/2005,13,119,23,21,38,101,86,23,10,29,193,120,26,22,36,109,124,12,28,27,112,123,15,32,37,121
01/01/2005,14,122,23,18,34,101,83,22,7,24,192,138,26,19,30,109,161,12,25,25,112,109,15,25,32,121
01/01/2005,15,114,23,14,30,101,88,22,6,20,197,113,25,13,24,108,172,11,20,22,112,67,15,15,27,120
01/01/2005,16,102,22,14,25,100,73,22,10,16,196,80,25,10,20,107,122,11,16,20,111,64,15,10,24,119
01/01/2005,17,75,22,12,19,99,74,22,9,12,194,63,25,14,16,106,97,11,11,18,110,55,15,10,21,118
01/01/2005,18,53,22,20,15,97,62,22,15,10,191,38,25,23,16,105,57,11,16,16,108,48,15,14,19,116
01/01/2005,19,21,22,24,13,96,60,22,20,8,190,19,25,25,16,104,45,11,25,15,107,44,15,20,17,115
01/01/2005,20,25,22,30,13,95,60,22,23,9,189,10,25,36,18,103,35,10,28,15,107,31,14,23,15,114
01/01/2005,21,52,22,29,13,93,31,22,32,11,186,12,24,37,19,102,40,10,31,14,106,18,14,34,16,113
01/01/2005,22,57,22,23,14,91,6,22,32,15,181,15,24,38,23,101,48,10,28,14,107,31,14,34,17,112
01/01/2005,23,49,22,26,14,89,17,22,32,18,176,10,24,32,24,100,35,10,29,18,106,22,14,35,21,112
01/01/2005,24,36,23,29,15,87,13,22,29,22,170,4,24,38,26,99,35,10,31,23,105,9,14,33,25,111
02/01/2005,1,22,24,28,16,84,4,22,25,27,161,3,23,38,28,97,34,10,27,25,103,22,15,30,28,110
02/01/2005,2,34,23,26,17,80,4,21,20,29,148,3,22,35,28,95,45,10,24,27,99,14,15,28,31,107
02/01/2005,3,27,22,23,18,77,4,21,20,30,136,3,21,32,27,93,44,10,21,27,95,20,15,22,31,104
02/01/2005,4,26,22,25,18,74,5,20,19,30,124,5,20,28,25,92,32,10,16,27,90,25,14,18,31,98
02/01/2005,5,26,21,30,18,71,4,19,19,29,115,5,19,25,24,89,31,9,19,25,86,22,14,18,29,93
02/01/2005,6,20,20,25,18,68,4,18,19,28,105,7,18,25,22,85,35,9,18,22,81,22,14,19,29,89
02/01/2005,7,14,19,23,18,66,4,18,16,25,97,6,18,24,23,80,13,8,17,18,76,9,13,17,25,84
02/01/2005,8,6,18,21,20,64,6,18,16,20,90,7,18,27,24,76,30,8,19,16,72,11,13,19,23,79
02/01/2005,9,15,17,23,21,62,5,17,23,18,83,14,18,40,24,73,25,8,23,15,67,14,12,24,21,75
02/01/2005,10,28,17,32,21,61,39,17,25,19,77,29,18,40,24,70,35,8,35,15,65,28,12,37,20,72
02/01/2005,11,55,16,35,21,60,45,17,21,19,74,47,18,37,22,66,63,7,30,15,63,57,12,53,23,69
02/01/2005,12,75,16,36,21,59,64,17,14,19,72,70,18,30,21,65,82,7,27,16,62,85,12,44,25,66
02/01/2005,13,88,15,24,21,58,66,17,8,18,72,75,18,19,20,64,107,7,25,17,62,104,12,23,25,63
02/01/2005,14,74,15,14,20,57,79,17,8,17,71,94,18,21,19,63,118,7,16,18,60,85,12,13,23,62
02/01/2005,15,79,15,10,19,57,81,17,9,15,70,86,18,12,18,64,89,7,9,18,59,58,12,13,23,62
02/01/2005,16,95,15,11,16,56,97,17,8,13,71,78,18,13,15,64,57,7,9,16,59,53,12,13,21,62
02/01/2005,17,76,15,11,14,57,72,17,10,9,71,45,18,11,13,64,42,7,6,13,59,48,12,14,20,62
02/01/2005,18,42,15,15,13,57,45,17,15,7,72,30,17,20,14,64,42,7,10,11,59,43,12,14,19,62
02/01/2005,19,16,15,23,13,57,25,17,17,8,71,15,17,24,16,64,20,7,21,10,59,32,12,16,16,62
02/01/2005,20,4,14,26,16,57,27,17,19,9,71,5,17,26,20,64,24,7,23,11,59,18,12,19,15,61
02/01/2005,21,15,14,24,16,56,35,17,20,13,72,3,17,27,24,63,11,6,23,13,58,8,12,21,15,61
02/01/2005,22,33,15,20,16,55,17,18,22,18,72,3,18,29,27,63,17,6,21,13,56,15,12,24,19,60
02/01/2005,23,37,15,23,16,54,5,18,23,25,71,5,18,27,28,63,27,6,22,14,55,11,12,25,21,59
02/01/2005,24,35,15,22,16,54,4,18,22,30,70,2,17,25,29,62,16,5,25,16,54,9,12,25,24,58
03/01/2005,1,21,15,20,17,53,3,22,18,32,69,7,18,23,29,61,29,5,22,18,53,3,12,27,30,57
03/01/2005,2,9,15,16,17,52,4,22,17,32,68,3,18,22,28,60,21,5,20,20,53,10,12,24,35,57
03/01/2005,3,14,14,17,17,51,4,22,16,32,66,3,21,22,25,59,26,5,19,22,52,4,13,19,36,56
03/01/2005,4,17,14,19,16,51,5,22,17,31,65,3,22,22,22,59,28,5,18,22,52,4,13,17,36,56
03/01/2005,5,15,15,17,14,51,5,22,15,26,63,4,22,20,19,58,24,5,16,22,51,4,14,16,35,55
03/01/2005,6,8,15,18,14,51,6,23,14,21,63,3,22,20,19,58,19,5,16,20,50,5,14,15,32,54
03/01/2005,7,5,15,19,15,50,5,23,13,18,63,3,22,18,19,58,11,5,17,19,50,6,14,18,31,54
03/01/2005,8,5,15,20,20,51,5,24,16,21,64,3,22,25,21,58,7,5,20,20,50,5,15,17,30,54
03/01/2005,9,5,15,28,24,52,5,24,24,22,65,5,22,30,23,58,10,6,25,24,51,5,15,22,28,54
03/01/2005,10,12,16,48,28,52,11,25,42,25,65,14,22,38,24,58,21,6,36,25,51,17,15,30,26,54
03/01/2005,11,26,16,58,31,53,35,25,34,25,65,26,23,52,25,58,39,7,37,27,51,35,15,30,27,53
03/01/2005,12,54,17,51,32,53,69,26,23,25,65,45,25,49,27,57,59,7,34,29,51,58,15,27,27,52
03/01/2005,13,66,17,37,32,52,90,26,19,24,65,71,25,33,28,56,66,7,20,31,49,74,15,21,26,51
03/01/2005,14,71,17,30,33,53,94,26,11,24,65,87,25,25,28,56,87,8,19,35,49,81,15,32,27,51
03/01/2005,15,75,17,20,34,53,88,26,11,23,65,85,25,23,26,56,95,8,21,34,49,90,15,16,26,51
03/01/2005,16,88,18,21,29,54,68,27,14,19,65,75,25,22,22,56,116,8,13,26,49,95,16,16,23,51
03/01/2005,17,79,18,19,22,53,88,27,9,12,64,73,25,25,19,57,83,8,12,18,50,79,16,30,20,53
03/01/2005,18,63,18,20,19,53,66,27,19,9,64,55,25,26,19,57,63,8,22,15,51,54,16,26,19,54
03/01/2005,19,19,18,38,19,54,34,27,19,8,66,21,25,32,19,58,34,8,35,14,52,46,16,30,20,55
03/01/2005,20,10,18,40,19,56,32,27,27,9,67,5,25,34,20,59,19,8,37,16,53,28,16,29,20,55
03/01/2005,21,25,18,25,18,57,26,27,30,11,69,5,25,37,20,59,25,8,40,17,54,17,16,27,21,56
03/01/2005,22,6,17,29,19,58,20,27,29,15,71,4,25,36,25,60,15,8,36,19,55,7,16,28,20,57
03/01/2005,23,4,16,26,20,59,4,26,28,19,73,4,23,34,31,60,15,8,29,20,56,6,15,28,23,58
03/01/2005,24,4,15,25,21,59,5,25,26,24,74,3,23,35,36,61,23,8,28,21,57,10,15,29,26,58
04/01/2005,1,6,15,22,23,61,5,24,23,29,74,3,22,33,39,62,29,8,24,22,58,14,14,24,26,59
04/01/2005,2,5,15,19,25,63,4,23,22,33,75,3,22,30,41,63,20,8,20,22,58,9,13,22,28,59
04/01/2005,3,8,14,18,26,63,4,22,21,35,76,3,21,29,41,64,20,8,20,21,58,19,12,22,27,59
04/01/2005,4,10,13,17,25,65,10,21,19,36,77,3,20,23,39,64,23,8,20,21,58,21,12,22,27,59
04/01/2005,5,11,12,18,25,65,7,21,17,33,79,4,19,23,38,65,23,8,17,21,58,18,12,19,26,59
04/01/2005,6,5,12,16,25,64,6,21,13,31,79,4,19,23,33,66,16,8,18,20,59,11,12,19,27,60
04/01/2005,7,5,12,18,23,66,6,21,13,30,80,4,19,23,28,67,8,8,20,20,59,6,12,17,27,60
04/01/2005,8,5,12,19,26,65,14,22,17,35,81,4,20,20,30,67,7,8,23,23,59,5,12,20,28,60
04/01/2005,9,5,12,25,29,64,14,22,28,36,82,5,20,32,34,68,10,8,28,25,60,6,12,27,31,60
04/01/2005,10,13,12,40,30,66,12,22,44,35,84,8,19,66,38,69,19,8,50,26,60,15,11,46,35,60
04/01/2005,11,28,12,41,32,54,40,21,53,35,85,31,18,79,40,69,40,8,31,28,60,43,11,50,36,60
04/01/2005,12,57,12,69,34,55,58,21,36,34,85,65,18,58,42,68,59,8,20,31,63,70,11,51,37,60
