Fecha,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10,,,,,
01/01/2010,1,5,8,22,16,61,14,6,27,14,89,2,6,27,14,50,5,6,26,17,46,7,5,25,21,52,,,,,
01/01/2010,2,8,8,22,17,66,18,6,26,15,92,4,7,24,14,52,6,7,23,17,53,6,5,23,23,52,,,,,
01/01/2010,3,15,8,24,18,72,26,6,16,14,95,5,7,21,14,55,15,7,20,17,60,7,5,21,24,53,,,,,
01/01/2010,4,23,8,21,18,80,29,6,16,13,95,22,7,11,13,58,16,7,17,15,64,16,5,14,22,55,,,,,
01/01/2010,5,22,10,19,19,85,30,6,10,12,94,20,7,10,12,60,20,7,16,15,67,18,5,13,21,55,,,,,
01/01/2010,6,20,10,12,18,89,27,6,5,11,93,15,7,11,11,59,16,8,12,14,68,23,5,10,18,54,,,,,
01/01/2010,7,23,10,8,16,89,28,6,5,10,92,15,7,8,10,61,18,8,8,12,70,23,5,10,16,57,,,,,
01/01/2010,8,21,10,8,15,88,26,5,7,9,88,14,7,10,9,61,20,8,5,10,71,17,5,10,12,57,,,,,
01/01/2010,9,24,10,8,13,86,26,5,5,8,83,18,7,8,8,60,25,7,5,7,70,20,5,9,9,57,,,,,
01/01/2010,10,31,10,4,11,84,33,5,5,7,78,27,6,5,7,58,29,7,4,5,68,27,5,5,6,54,,,,,
01/01/2010,11,38,10,5,9,81,37,5,5,6,76,33,6,4,6,55,37,7,3,4,67,35,5,7,4,53,,,,,
01/01/2010,12,45,9,4,7,78,44,5,5,6,73,39,6,6,6,52,42,7,4,3,65,40,5,8,4,51,,,,,
01/01/2010,13,48,9,5,6,78,44,5,6,5,71,42,6,7,6,50,46,6,5,2,64,45,5,9,3,49,,,,,
01/01/2010,14,57,9,6,5,77,44,5,4,5,70,50,6,7,6,49,56,6,5,2,63,55,5,8,3,48,,,,,
01/01/2010,15,67,9,7,5,75,46,5,6,5,68,56,6,7,6,49,65,6,5,2,62,65,5,9,4,48,,,,,
01/01/2010,16,75,9,7,5,74,55,5,5,5,68,63,6,9,6,49,74,6,6,2,60,73,5,10,4,48,,,,,
01/01/2010,17,73,9,10,5,73,63,5,8,5,67,65,6,9,6,48,71,6,6,2,59,73,5,12,4,48,,,,,
