INDICE DE CALIDAD DEL AIRE
Fecha,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10
01/01/2012,1,6,5,28,9,50,14,8,23,14,63,2,5,21,9,51,22,5,18,13,41,8,5,20,12,56
01/01/2012,2,5,5,23,11,55,14,8,24,15,81,2,6,22,11,51,15,5,19,15,43,11,5,19,13,58
01/01/2012,3,5,6,21,12,60,15,8,23,15,86,2,6,22,12,54,8,5,20,15,48,14,5,16,13,63
01/01/2012,4,5,6,21,14,67,16,8,21,16,91,2,6,21,14,58,9,5,19,17,52,6,5,19,15,68
01/01/2012,5,3,6,17,15,73,17,8,20,18,97,2,6,19,16,62,16,5,17,20,56,10,5,16,16,72
01/01/2012,6,4,6,16,15,77,14,8,20,21,101,2,6,19,17,65,19,5,17,22,61,5,5,15,19,77
01/01/2012,7,4,6,16,16,79,10,8,19,23,107,2,6,20,19,68,13,5,16,24,64,6,5,15,21,83
01/01/2012,8,4,6,15,17,82,13,8,17,25,112,2,6,18,20,73,14,5,16,25,67,7,5,15,22,88
01/01/2012,9,11,6,22,18,85,14,8,26,27,117,5,6,24,20,77,30,5,24,25,69,13,5,18,24,93
01/01/2012,10,22,6,27,18,88,29,8,34,28,123,14,6,33,20,81,38,5,44,25,71,25,5,25,23,98
01/01/2012,11,41,6,26,16,89,51,8,33,26,128,37,6,34,20,85,46,5,33,25,73,41,5,24,23,103
01/01/2012,12,52,6,14,15,88,60,9,20,24,130,48,7,21,18,89,55,5,13,23,78,62,5,20,23,104
01/01/2012,13,53,6,10,13,86,56,9,7,21,129,55,7,8,16,92,53,6,7,19,77,72,5,10,20,106
01/01/2012,14,49,6,8,11,84,45,8,6,16,129,48,7,6,14,92,57,6,5,15,76,49,5,3,17,106
01/01/2012,15,49,6,9,9,85,38,8,6,13,129,35,6,5,12,92,49,5,4,12,74,38,5,2,15,105
01/01/2012,16,38,6,8,7,83,35,8,7,11,130,32,6,6,9,90,40,5,4,8,74,36,5,2,14,105
01/01/2012,17,31,5,9,6,81,32,8,7,10,130,28,5,6,7,90,34,5,5,6,74,33,5,3,12,107
01/01/2012,18,26,5,10,5,79,30,8,7,9,129,24,5,9,5,90,28,5,6,5,75,29,5,4,9,109
01/01/2012,19,20,5,11,5,78,28,8,9,8,128,21,5,8,4,91,23,5,7,4,77,17,5,7,7,110
01/01/2012,20,19,5,9,5,79,26,7,9,8,127,18,5,9,4,92,19,5,8,3,78,15,5,8,7,110
01/01/2012,21,18,5,13,5,80,25,7,10,9,125,15,5,11,4,92,22,5,9,4,76,17,5,7,6,108
01/01/2012,22,19,5,13,5,80,25,7,13,9,126,15,5,9,4,91,18,4,9,5,76,13,4,9,7,108
01/01/2012,23,17,5,13,5,80,24,7,10,9,126,14,5,9,4,90,18,4,8,5,75,11,4,9,8,107
01/01/2012,24,17,5,12,5,79,23,6,7,9,124,16,4,7,4,89,19,4,9,5,73,9,4,9,8,106
