INDICE DE CALIDAD DEL AIRE
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.df.gob.mx
timeStamp:	2013/01/01 al 2013/12/31
average_interval: 001h
Fecha,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10,,,,
01/01/2013,1,3,2,17,10,37,11,4,20,20,58,2,2,18,11,31,14,2,17,8,23,3,3,18,14,31,,,,
01/01/2013,2,3,3,16,12,42,7,5,18,24,71,3,2,16,13,33,16,2,18,10,28,7,3,16,15,36,,,,
01/01/2013,3,4,3,16,15,48,7,5,19,29,85,3,2,15,14,35,13,2,16,11,33,4,3,16,15,40,,,,
01/01/2013,4,5,3,15,17,52,7,5,18,33,108,3,2,15,15,39,10,2,17,12,38,4,3,16,16,45,,,,
01/01/2013,5,9,4,16,20,57,6,5,17,35,117,3,2,15,15,47,8,2,17,13,41,5,3,15,17,52,,,,
01/01/2013,6,13,4,16,22,66,8,5,16,37,126,2,2,14,15,53,14,2,16,14,45,4,3,15,17,57,,,,
01/01/2013,7,9,4,13,23,78,6,5,15,38,134,2,2,14,15,57,13,2,15,15,49,4,3,14,16,61,,,,
01/01/2013,8,7,4,13,23,89,9,5,15,38,141,2,2,16,15,61,12,2,15,15,54,6,3,13,17,63,,,,
01/01/2013,9,7,5,22,24,99,8,5,25,38,149,5,2,23,16,64,16,2,18,15,58,15,4,16,17,65,,,,
01/01/2013,10,20,5,34,24,105,27,5,33,37,158,19,2,30,15,68,30,2,20,15,62,28,4,22,17,65,,,,
01/01/2013,11,45,5,29,24,110,46,5,20,33,164,42,2,20,17,72,55,2,23,15,64,47,4,16,15,63,,,,
01/01/2013,12,55,5,15,22,112,45,5,11,30,168,55,2,9,15,75,70,2,13,14,68,43,4,5,15,64,,,,
01/01/2013,13,56,5,10,18,111,52,5,6,26,169,55,2,7,15,75,69,2,7,12,68,39,4,3,14,66,,,,
01/01/2013,14,63,5,8,15,114,56,5,5,23,168,44,2,4,13,75,62,2,5,10,69,38,4,2,13,68,,,,
01/01/2013,15,66,5,9,12,114,55,5,5,20,168,43,2,4,11,74,57,2,5,8,71,45,4,3,10,72,,,,
01/01/2013,16,56,5,9,9,113,48,5,5,15,167,46,2,6,9,73,51,2,4,7,72,49,4,4,8,72,,,,
01/01/2013,17,46,5,7,7,116,45,5,8,11,168,38,2,8,7,73,38,2,5,5,73,45,4,4,6,72,,,,
01/01/2013,18,36,5,7,5,116,41,5,11,8,169,28,2,10,5,73,35,2,5,5,73,39,4,5,6,73,,,,
01/01/2013,19,20,5,10,5,116,34,5,16,7,170,24,2,12,5,73,34,2,9,5,73,37,4,7,6,74,,,,
01/01/2013,20,12,5,17,5,116,27,5,17,6,170,17,2,15,5,73,33,2,10,5,73,31,4,9,6,73,,,,
01/01/2013,21,7,5,19,5,115,26,5,22,7,170,15,2,15,5,73,30,2,17,5,73,25,4,13,6,72,,,,
01/01/2013,22,6,5,19,5,115,25,5,21,7,170,10,2,20,5,73,32,2,16,5,72,26,4,16,7,70,,,,
01/01/2013,23,14,5,16,6,116,21,5,20,8,169,4,3,20,6,73,19,2,19,6,71,18,4,17,7,69,,,,
01/01/2013,24,14,7,13,6,115,14,5,19,9,169,2,4,20,7,73,17,3,19,6,72,15,4,17,8,66,,,,
02/01/2013,1,10,7,14,6,114,18,5,19,10,162,5,4,17,7,71,19,2,17,6,72,20,3,17,7,62,,,,
02/01/2013,2,15,8,14,6,112,15,5,17,10,155,9,5,11,7,69,21,2,15,6,68,8,3,17,7,56,,,,
02/01/2013,3,14,9,11,5,108,9,5,16,10,145,13,5,10,7,65,21,3,15,7,63,13,3,13,7,52,,,,
02/01/2013,4,11,10,12,5,105,12,6,16,10,129,12,6,11,7,61,15,3,10,7,60,18,4,12,7,48,,,,
02/01/2013,5,8,10,14,5,101,5,7,17,9,120,9,6,15,7,58,13,4,9,7,57,15,4,15,6,43,,,,
02/01/2013,6,6,11,14,4,92,5,8,17,8,110,2,7,15,6,56,9,4,12,6,52,8,5,16,6,39,,,,
02/01/2013,7,2,12,15,4,79,3,8,17,8,102,1,8,17,6,53,10,5,15,6,47,8,5,16,6,37,,,,
